N,time_needed,number_of_rand_moves,quality,cost,percentage_exploration,percentage_expoitation,mem_usage,alg
3,0.01035571,404,22,115,0.0,1.0,0.04
4,0.81918287,649,73,6792,0.0,1.0,4.79
5,10.82762671,1135,129,54854,0.009,0.991,77.95
3,0.02759647,449,21,262,0.0,1.0,0.08
4,0.41473818,756,68,3173,0.0,1.0,2.64
5,50.31625795,1187,163,201765,0.003,0.997,355.67
3,0.00130987,395,11,12,0.0,1.0,0.01
4,2.61184049,771,69,22446,0.0,1.0,19.43
5,50.48931003,1001,117,248594,0.003,0.997,350.44
3,0.11205029,447,17,66,0.0,1.0,121.14
4,0.83943796,664,70,6571,0.0,1.0,5.52
5,14.9473927,1080,116,74320,0.007,0.993,101.23
3,0.01257348,369,17,42,0.0,1.0,5.98
4,0.63772535,768,66,4800,0.0,1.0,3.78
3,0.01670623,364,20,105,0.0,1.0,1.42
4,0.04676938,654,50,166,0.0,1.0,0.1
5,1.3045218,1151,133,6528,0.063,0.937,9.45
3,0.02397394,444,26,281,0.0,1.0,0.1
4,0.52667952,779,73,4602,0.0,1.0,3.57
5,4.79150987,1197,121,26573,0.016,0.984,35.28
3,0.07649016,386,30,914,0.0,1.0,6.82
4,0.38343549,743,63,3311,0.0,1.0,2.41
5,74.80136943,1249,163,351481,0.002,0.998,632.51
3,0.03251624,419,31,310,0.0,1.0,0.12
3,0.00134945,413,13,15,0.0,1.0,0.0
3,0.0043025,447,13,53,0.0,1.0,0.01
3,0.00810266,367,25,101,0.0,1.0,0.03
3,0.00509429,443,25,70,0.0,1.0,0.02
4,2.45378733,679,73,15385,0.0,1.0,11.34
4,0.55371475,794,46,4628,0.0,1.0,3.03
4,2.69834924,781,67,24500,0.0,1.0,19.59
4,1.47610855,765,81,14085,0.0,1.0,11.17
4,0.90941167,708,62,8051,0.0,1.0,6.38
5,16.16982889,1216,128,86310,0.006,0.994,118.44
5,5.40444398,1062,118,27755,0.016,0.984,39.07
5,80.69534039,1050,156,392419,0.002,0.998,684.31
5,75.65164351,1087,123,380704,0.002,0.998,533.03
5,14.86520934,1185,145,76691,0.007,0.993,121.45
6,91.23801255,200,134,0,0,0,0.1
6,0.02190971,10,8,0,0,0,6.63
6,304.7185905,300,120,0,0,0,0.1
3,0.00922704,400,24,65,0.0,1.0,0.02
3,0.01113367,400,20,66,0.0,1.0,0.02
3,0.01674414,400,24,157,0.0,1.0,0.05
4,1.04848313,400,74,7854,0.0,1.0,6.42
4,0.57532215,400,56,4436,0.0,1.0,2.97
4,0.96042871,400,82,7534,0.0,1.0,5.5
5,3.13240147,400,112,13477,0.032,0.968,16.4
3,0.04303265,365,27,306,0.0,1.0,0.09
3,0.00570893,403,25,81,0.0,1.0,0.03
3,0.00362778,433,27,55,0.0,1.0,0.01
4,1.18866301,796,62,8517,0.0,1.0,6.29
4,0.96130562,797,61,6427,0.0,1.0,4.67
4,0.13078928,750,74,935,0.0,1.0,0.69
